Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.890718,0,187653,-0,1.81531e-05,0,0,0,0,0,0,1,0,-4.43113e-09,1,75061.3,0.0639025,-0.000139758,1.09363e-19,-0.00102315,0.00103265,293.566,0,0,0,0,0.276046
1,0.890793,0,187677,-0,1.81537e-05,0,0,0,0,0,0,0.997983,0,-2.13477e-05,0.997983,75070.8,0.0861309,0.00339981,0,3.61303e-05,0.0034,293.578,0,0,0,0,0.497508
2,0.890815,0,187685,-0,1.8154e-05,0,0,0,0,0,0,0.99592,0,-4.3361e-05,0.99592,75074,0.0938326,0.0031968,0,3.42613e-05,0.00319698,293.584,0,0,0,0,0.482404
3,0.890846,0,187692,-0,1.8154e-05,0,0,0,0,0,0,0.99381,0,-6.60757e-05,0.99381,75076.8,0.100367,0.0032281,0,3.48997e-05,0.00322829,293.585,0,0,0,0,0.484751
4,0.890879,0,187698,-0,1.8154e-05,0,0,0,0,0,0,0.99165,0,-8.95248e-05,0.99165,75079.4,0.106428,0.00326159,0,3.558e-05,0.00326178,293.584,0,0,0,0,0.487254
5,0.890909,0,187705,-0,1.8154e-05,0,0,0,0,0,0,0.98944,0,-0.000113743,0.98944,75082,0.112593,0.003272,0,3.60258e-05,0.0032722,293.584,0,0,0,0,0.488028
6,0.89093,0,187710,-0,1.81541e-05,0,0,0,0,0,0,0.987178,0,-0.000138769,0.987178,75084.2,0.11765,0.00326768,0,3.63233e-05,0.00326788,293.586,0,0,0,0,0.4877
7,0.890949,0,187716,-0,1.81542e-05,0,0,0,0,0,0,0.984861,0,-0.000164641,0.984861,75086.4,0.122871,0.00325792,1.97434e-25,3.6573e-05,0.00325813,293.588,0,0,0,0,0.486968
8,0.890965,0,187721,-0,1.81543e-05,0,0,0,0,0,0,0.982489,0,-0.000191403,0.982489,75088.4,0.12754,0.00324675,1.72903e-25,3.68191e-05,0.00324695,293.591,0,0,0,0,0.486129
9,0.890981,0,187726,-0,1.81544e-05,0,0,0,0,0,0,0.980059,0,-0.000219098,0.980059,75090.4,0.132241,0.00323611,0,3.7084e-05,0.00323633,293.593,0,0,0,0,0.485331
10,0.890996,0,187731,-0,1.81545e-05,0,0,0,0,0,0,0.97757,0,-0.000247775,0.97757,75092.2,0.136633,0.00322615,-1.7313e-25,3.73699e-05,0.00322637,293.596,0,0,0,0,0.484583
11,0.89101,0,187735,-0,1.81547e-05,0,0,0,0,0,0,0.975019,0,-0.000277486,0.975019,75094.1,0.140982,0.00321695,-1.05137e-27,3.76789e-05,0.00321717,293.598,0,0,0,0,0.483893
