"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,           0,     -0.5385580409,     -0.5385580411,      -5.249604791
          0,           0,           1,      -0.554195164,       5.221358813,        5.09101872
          0,           0,           2,     -0.5541969833,       5.221361133,       5.091051594
          0,           0,           3,     -0.5542069107,       5.221360624,       5.091046528
          0,           0,           4,     -0.5542057195,         5.2213604,       5.091046542
          0,           0,           5,     -0.5542064531,       5.221360515,       5.091046428
          0,           0,           6,     -0.5542060628,       5.221360513,       5.091046602
          0,           0,           7,     -0.5542069782,       5.221360682,       5.091046121
          0,           0,           8,     -0.5542074622,       5.221360223,       5.091045478
          0,           0,           9,      -0.554207293,       5.221360073,       5.091045352
          0,           0,          10,     -0.5542075788,       5.221361692,       5.091043203
          0,           0,          11,     -0.5542079708,       5.221361523,        5.09104318
          0,           0,          12,     -0.5542078852,       5.221361475,       5.091043198
          0,           0,          13,     -0.5542079186,       5.221361496,       5.091043176
          0,           0,          14,     -0.5542079039,       5.221361487,       5.091043186
          0,           0,          15,     -0.5542078961,       5.221361481,        5.09104319
          0,           0,          16,     -0.5542079073,       5.221361489,       5.091043186
          0,           0,          17,     -0.5542079049,       5.221361487,       5.091043184
          0,           0,          18,     -0.5542078938,        5.22136148,       5.091043195
          0,           0,          19,      -0.554207916,       5.221361495,       5.091043178
          0,           0,          20,      -0.554207883,       5.221361474,       5.091043203
          0,           0,          21,     -0.5542079163,       5.221361496,       5.091043174
          0,           0,          22,     -0.5542079385,       5.221361511,       5.091043157
          0,           0,          23,     -0.5542079018,       5.221361488,       5.091043186
          0,           0,          24,     -0.5542079165,       5.221361498,       5.091043177
          0,           0,          25,     -0.5542079054,        5.22136149,       5.091043185
          0,           0,          26,     -0.5542078933,       5.221361483,       5.091043196
          0,           0,          27,     -0.5542078944,       5.221361483,       5.091043196
          0,           0,          28,     -0.5542079159,       5.221361497,       5.091043174
          0,           0,          29,     -0.5542078837,       5.221361477,       5.091043202
          0,           0,          30,     -0.5542079121,       5.221361495,       5.091043181
          0,           0,          31,     -0.5542079003,       5.221361487,        5.09104319
          0,           0,          32,     -0.5542079201,         5.2213615,       5.091043172
          0,           0,          33,     -0.5542078949,       5.221361484,       5.091043192
          0,           0,          34,     -0.5542079044,       5.221361491,       5.091043184
          0,           0,          35,      -0.554207941,       5.221361515,       5.091043153
          0,           0,          36,      -0.554207895,       5.221361487,       5.091043189
          0,           0,          37,     -0.5542078969,       5.221361488,       5.091043192
          0,           0,          38,     -0.5542078886,       5.221361483,       5.091043197
          0,           0,          39,     -0.5542078992,       5.221361489,       5.091043189
          0,           0,          40,     -0.5542079132,       5.221361498,       5.091043179
          0,           0,          41,     -0.5542079129,       5.221361498,       5.091043181
          0,           0,          42,     -0.5542078967,       5.221361488,       5.091043191
          0,           0,          43,     -0.5542078767,       5.221361476,       5.091043207
          0,           0,          44,     -0.5542079087,       5.221361496,       5.091043183
          0,           0,          45,     -0.5542079244,       5.221361507,       5.091043171
          0,           0,          46,     -0.5542079225,       5.221361506,       5.091043169
          0,           0,          47,     -0.5542078797,       5.221361479,       5.091043205
          0,           0,          48,     -0.5542079054,       5.221361496,       5.091043188
          0,           0,          49,     -0.5542078813,       5.221361481,       5.091043205
          0,           0,          50,     -0.5542078899,       5.221361486,       5.091043199
          0,           0,          51,     -0.5542078677,       5.221361473,       5.091043212
          0,           0,          52,     -0.5542079086,       5.221361499,       5.091043186
          0,           0,          53,     -0.5542079082,       5.221361499,       5.091043178
          0,           0,          54,       -0.55420791,         5.2213615,       5.091043179
          0,           0,          55,     -0.5542079028,       5.221361495,       5.091043186
          0,           0,          56,     -0.5542079143,       5.221361503,       5.091043179
          0,           0,          57,     -0.5542078972,       5.221361492,       5.091043189
          0,           0,          58,     -0.5542079008,       5.221361494,        5.09104319
          0,           0,          59,     -0.5542079059,       5.221361498,       5.091043182
          0,           0,          60,     -0.5542078783,       5.221361481,       5.091043203
          0,           0,          61,      -0.554207883,       5.221361484,       5.091043202
          0,           0,          62,     -0.5542079068,       5.221361498,       5.091043182
          0,           0,          63,     -0.5542079027,       5.221361496,       5.091043183
          0,           0,          64,     -0.5542079154,       5.221361504,       5.091043178
          0,           0,          65,     -0.5542078985,       5.221361494,       5.091043185
          0,           0,          66,     -0.5542079182,       5.221361507,       5.091043174
          0,           0,          67,     -0.5542078958,       5.221361492,        5.09104319
          0,           0,          68,     -0.5542078707,       5.221361477,        5.09104321
          0,           0,          69,     -0.5542079146,       5.221361506,       5.091043177
          0,           0,          70,     -0.5542078987,       5.221361496,       5.091043188
          0,           0,          71,     -0.5542078832,       5.221361486,       5.091043202
          0,           0,          72,     -0.5542078848,       5.221361487,       5.091043198
          0,           0,          73,     -0.5542079235,       5.221361513,       5.091043169
          0,           0,          74,     -0.5542078993,       5.221361497,       5.091043185
          0,           0,          75,     -0.5542078898,       5.221361492,       5.091043195
          0,           0,          76,     -0.5542079322,       5.221361519,        5.09104316
          0,           0,          77,     -0.5542078886,       5.221361491,       5.091043193
          0,           0,          78,     -0.5542078989,       5.221361498,       5.091043186
          0,           0,          79,     -0.5542079032,       5.221361501,       5.091043184
          0,           0,          80,     -0.5542078693,       5.221361481,       5.091043212
          0,           0,          81,     -0.5542079166,       5.221361511,       5.091043172
          0,           0,          82,     -0.5542078806,       5.221361489,       5.091043199
          0,           0,          83,     -0.5542079178,       5.221361512,       5.091043173
          0,           0,          84,     -0.5542079004,       5.221361502,       5.091043184
