Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.990567,0,2.84278,-0,6.06342e-08,0,0,0,0,0,0,0.986674,0.65,-0.000366313,1.18154,1.13711,0.247195,0.00113613,0.000212056,0.000140803,0.00116429,1.13263,0,0,0,0,0.950572
1,0.982549,0,2.81856,-0,6.06146e-08,0,0,0,0,0,0,0.983554,0.65,-0.000774544,1.17893,1.12742,0.227815,0.00105259,0.000289071,0.000127076,0.00109894,1.13215,0,0,0,0,0.919989
2,0.99116,0,2.84457,-0,6.06355e-08,0,0,0,0,0,0,0.9869,0.65,-0.000336749,1.18172,1.13783,0.248623,0.00114249,0.00020657,0.000141835,0.00116964,1.13267,0,0,0,0,0.952945
3,0.840004,0,2.4041,-0,6.05093e-08,0,0,0,0,0,0,0.457652,0.65,-0.024281,0.795321,0.961639,-0.103754,0.00347414,-6.34317e-05,-0.000293568,0.0034871,1.12954,0,0,0,0,1.51791
4,0.847544,0,2.42632,-0,6.05213e-08,0,0,0,0,0,0,0.447947,0.65,-0.0233504,0.789748,0.970527,-0.0859784,0.00349536,-4.67232e-05,-0.000332398,0.00351144,1.12983,0,0,0,0,1.52978
5,0.858048,0,2.45728,-0,6.05378e-08,0,0,0,0,0,0,0.434215,0.65,-0.0219937,0.782002,0.98291,-0.0612115,0.00352551,-2.33805e-05,-0.000387486,0.00354681,1.13024,0,0,0,0,1.54648
6,0.823296,0,2.35424,-0,6.04699e-08,0,0,0,0,0,0,0.48821,0.65,-0.0264954,0.813358,0.941696,-0.14364,0.00341567,-9.58231e-05,-0.000208399,0.00342336,1.12856,0,0,0,0,1.48991
7,0.833122,0,2.38354,-0,6.04927e-08,0,0,0,0,0,0,0.470419,0.65,-0.0252269,0.802764,0.953416,-0.120201,0.00345024,-7.68871e-05,-0.000257893,0.00346072,1.12913,0,0,0,0,1.50641
8,0.882527,0,2.51698,-0,6.03498e-08,0,0,0,0,0,0,0.89291,0.65,-0.0118698,1.1045,1.00679,-0.0134488,0.00206724,0.000123064,0.000213821,0.00208191,1.12559,0,0,0,0,1.20516
9,0.874489,0,2.49311,-0,6.03328e-08,0,0,0,0,0,0,0.879626,0.65,-0.0132736,1.09381,0.997245,-0.0325426,0.00213449,0.000109889,0.000212614,0.00214787,1.12517,0,0,0,0,1.21906
10,0.891099,0,2.54246,-0,6.03685e-08,0,0,0,0,0,0,0.907009,0.65,-0.0103698,1.11592,1.01698,0.00693616,0.00199412,0.00013768,0.000214828,0.00201038,1.12605,0,0,0,0,1.18983
11,0.90921,0,2.58916,-0,6.02813e-08,0,0,0,0,0,0,0.907009,0.65,0.0103698,1.11592,1.03567,0.0442994,0.00128812,0.000186366,-0.000135804,0.00130859,1.12389,0,0,0,0,0.971051
12,0.920106,0,2.62309,-0,6.03312e-08,0,0,0,0,0,0,0.919929,0.65,0.00889132,1.12643,1.04924,0.0714414,0.00118574,0.00020262,-0.000130642,0.00121,1.12513,0,0,0,0,0.938205
13,0.92687,0,2.64426,-0,6.0364e-08,0,0,0,0,0,0,0.928051,0.65,0.0079553,1.13307,1.0577,0.0883753,0.00112302,0.000212636,-0.000127439,0.00115005,1.12594,0,0,0,0,0.917871
14,0.955737,0,2.73708,-0,6.05385e-08,0,0,0,0,0,0,0.966196,0.65,-0.00304552,1.16449,1.09483,0.162628,0.00132552,0.000252884,0.000164063,0.00135936,1.13026,0,0,0,0,1.01042
15,0.953612,0,2.73062,-0,6.05322e-08,0,0,0,0,0,0,0.964542,0.65,-0.00326201,1.16312,1.09225,0.157464,0.0013484,0.000249551,0.000167098,0.00138144,1.1301,0,0,0,0,1.01742
16,0.943087,0,2.69868,-0,6.05019e-08,0,0,0,0,0,0,0.956639,0.65,-0.00429601,1.15658,1.07947,0.131915,0.00146167,0.000233695,0.000182038,0.00149138,1.12935,0,0,0,0,1.05196
17,0.964598,0,2.76405,-0,6.05648e-08,0,0,0,0,0,0,0.972556,0.65,-0.00221359,1.16977,1.10562,0.184208,0.00122812,0.000263241,0.000150926,0.00126505,1.13091,0,0,0,0,0.978729
18,0.966018,0,2.76837,-0,6.05689e-08,0,0,0,0,0,0,0.973548,0.65,-0.00208386,1.1706,1.10735,0.187661,0.00121301,0.000264958,0.000148885,0.00125051,1.13101,0,0,0,0,0.973829
19,0.882943,0,2.53086,-0,6.05791e-08,0,0,0,0,0,0,0.392581,0.65,-0.0155812,0.759515,1.01235,-0.00234045,0.00395086,-4.55633e-05,-0.00112052,0.00410693,1.13127,0,0,0,0,1.68711
20,0.883711,0,2.53315,-0,6.05806e-08,0,0,0,0,0,0,0.392124,0.65,-0.0154853,0.759277,1.01326,-0.000515661,0.00395887,-4.64424e-05,-0.00114132,0.00412037,1.1313,0,0,0,0,1.6904
21,0.883784,0,2.53336,-0,6.05807e-08,0,0,0,0,0,0,0.392089,0.65,-0.0154776,0.759259,1.01334,-0.000344584,0.00395949,-4.64818e-05,-0.00114303,0.00412143,1.13131,0,0,0,0,1.69067
22,0.939228,0,2.68707,-0,6.0492e-08,0,0,0,0,0,0,0.953854,0.65,-0.00465852,1.15428,1.07483,0.122621,0.00149883,0.000227345,0.000186409,0.00152739,1.12911,0,0,0,0,1.06233
23,0.925805,0,2.64667,-0,6.04579e-08,0,0,0,0,0,0,0.944213,0.65,-0.00591242,1.14633,1.05867,0.0903052,0.00163172,0.000204966,0.000201619,0.00165686,1.12826,0,0,0,0,1.09937
24,0.433232,0,1.224,-0,5.99223e-08,0,0,0,0,0,0,0.401797,0.65,0.0175242,0.764361,0.489598,-1.04784,0.00413877,-0.000784693,0.000849907,0.00429738,1.11504,0,0,0,0,1.22207
25,0.432338,0,1.22138,-0,5.99188e-08,0,0,0,0,0,0,0.402517,0.65,0.0176692,0.764743,0.48855,-1.04993,0.00410353,-0.000768663,0.000805726,0.00425194,1.11495,0,0,0,0,1.21433
26,0.449275,0,1.27031,-0,5.99576e-08,0,0,0,0,0,0,0.392581,0.65,0.0155812,0.759515,0.508125,-1.01078,0.00461571,-0.000989722,0.00146829,0.0049437,1.1159,0,0,0,0,1.33402
27,1.10984,0,3.19409,-0,6.07631e-08,0,0,0,0,0,0,0.375608,0.65,0.00248361,0.750724,1.27764,0.528241,0.00179506,0.00150727,0.00310997,0.00389436,1.13583,0,0,0,0,1.83615
28,0.982541,0,2.81702,-0,6.05867e-08,0,0,0,0,0,0,0.376768,0.65,0.00517682,0.751319,1.12681,0.226585,0.00286555,0.000858501,0.00392624,0.00493597,1.13146,0,0,0,0,1.94942
29,0.966526,0,2.76955,-0,6.05644e-08,0,0,0,0,0,0,0.376916,0.65,0.00552982,0.751396,1.10782,0.188609,0.00300001,0.000777373,0.004033,0.00508621,1.1309,0,0,0,0,1.96467
30,0.790266,0,2.2499,-0,6.02703e-08,0,0,0,0,0,0,0.728736,0.65,-0.0259889,0.976848,0.899962,-0.227108,0.00278363,-5.28881e-05,0.000171643,0.00278941,1.12362,0,0,0,0,1.32203
