Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.961026,0,2.75947,-0,6.06585e-08,0,0,0,0,0,0,0.979446,0.65,-0.00116675,1.17551,1.10379,0.180545,0.000572148,0.000177033,7.03136e-05,0.000603024,1.13324,0,0,0,0,6.7907
1,0.951349,0,2.73121,-0,6.06506e-08,0,0,0,0,0,0,0.970653,0.65,-0.00233669,1.16819,1.09248,0.157938,0.000578208,0.000145181,7.08795e-05,0.000600355,1.13304,0,0,0,0,6.73039
2,0.940294,0,2.69904,-0,6.06432e-08,0,0,0,0,0,0,0.961449,0.65,-0.0035397,1.16056,1.07962,0.132201,0.000619711,0.0001301,7.56705e-05,0.000637726,1.13286,0,0,0,0,6.89287
3,0.836891,0,2.40021,-0,6.06049e-08,0,0,0,0,0,0,0.806246,0.65,0.0199817,1.03582,0.960085,-0.106862,0.000693015,8.56651e-05,-5.76091e-05,0.000700662,1.13191,0,0,0,0,7.0648
4,0.848983,0,2.4353,-0,6.06126e-08,0,0,0,0,0,0,0.824856,0.65,0.0183479,1.05034,0.974121,-0.0787898,0.000676111,9.02065e-05,-5.84363e-05,0.000684601,1.1321,0,0,0,0,7.01785
5,0.860206,0,2.46792,-0,6.06205e-08,0,0,0,0,0,0,0.842652,0.65,0.016722,1.06435,0.98717,-0.0526925,0.000657349,9.50155e-05,-5.89113e-05,0.000666788,1.13229,0,0,0,0,6.95126
6,0.870908,0,2.49908,-0,6.06287e-08,0,0,0,0,0,0,0.859571,0.65,0.0151135,1.07777,0.999631,-0.0277695,0.000635373,0.000100494,-5.90647e-05,0.000645978,1.1325,0,0,0,0,6.85947
7,0.881357,0,2.52954,-0,6.06373e-08,0,0,0,0,0,0,0.875564,0.65,0.0135276,1.09055,1.01181,-0.00340185,0.000608899,0.00010683,-5.88019e-05,0.00062099,1.13271,0,0,0,0,6.74183
8,0.891659,0,2.55961,-0,6.06463e-08,0,0,0,0,0,0,0.890598,0.65,0.0119682,1.10264,1.02384,0.0206559,0.00057774,0.000114201,-5.79952e-05,0.000591767,1.13293,0,0,0,0,6.59
9,0.901907,0,2.58956,-0,6.06557e-08,0,0,0,0,0,0,0.904661,0.65,0.0104404,1.11401,1.03583,0.0446186,0.000541746,0.0001224,-5.64393e-05,0.000558261,1.13317,0,0,0,0,6.40723
10,0.911953,0,2.61896,-0,6.06653e-08,0,0,0,0,0,0,0.917759,0.65,0.00895114,1.12466,1.04758,0.0681335,0.000501592,0.000131164,-5.39946e-05,0.000521262,1.13341,0,0,0,0,6.20107
11,0.921766,0,2.64769,-0,6.06748e-08,0,0,0,0,0,0,0.929921,0.65,0.00750901,1.1346,1.05907,0.091118,0.000458869,0.000140066,-5.06672e-05,0.000482438,1.13364,0,0,0,0,5.97365
12,0.497683,0,1.41899,-0,6.0337e-08,0,0,0,0,0,0,0.386573,0.65,0.0141486,0.756399,0.567597,-0.891838,0.0028422,-0.000658281,0.00126745,0.00318086,1.12527,0,0,0,0,9.4741
13,0.418744,0,1.19139,-0,6.02403e-08,0,0,0,0,0,0,0.392596,0.65,0.0160135,0.759532,0.476555,-1.07392,0.00269242,-0.000679117,0.000777039,0.00288342,1.12288,0,0,0,0,8.6326
14,0.397526,0,1.12896,-0,6.01574e-08,0,0,0,0,0,0,0.39982,0.65,0.0174718,0.763323,0.451583,-1.12387,0.00249255,-0.000592937,0.000511707,0.00261271,1.12083,0,0,0,0,8.31926
15,0.413024,0,1.17194,-0,6.01174e-08,0,0,0,0,0,0,0.408221,0.65,0.018815,0.767788,0.468776,-1.08948,0.00232523,-0.000480351,0.000394465,0.00240688,1.11984,0,0,0,0,8.35497
16,0.439464,0,1.24807,-0,6.01573e-08,0,0,0,0,0,0,0.41782,0.65,0.0201793,0.772969,0.499227,-1.02858,0.00209069,-0.0003551,0.00030798,0.00214288,1.12083,0,0,0,0,8.27696
17,0.471077,0,1.34021,-0,6.02368e-08,0,0,0,0,0,0,0.428645,0.65,0.0215344,0.77891,0.536084,-0.954865,0.00181509,-0.000223815,0.000228435,0.00184305,1.12279,0,0,0,0,8.05387
18,0.811314,0,2.3213,-0,6.04958e-08,0,0,0,0,0,0,0.766903,0.65,-0.0231948,1.00557,0.92852,-0.169992,0.00108151,8.04168e-06,8.26866e-05,0.0010847,1.1292,0,0,0,0,8.70202
19,0.799781,0,2.2876,-0,6.04818e-08,0,0,0,0,0,0,0.746357,0.65,-0.0247114,0.99003,0.915039,-0.196953,0.00112268,-4.7488e-06,7.89426e-05,0.00112547,1.12885,0,0,0,0,8.81432
20,0.78843,0,2.25448,-0,6.04687e-08,0,0,0,0,0,0,0.725368,0.65,-0.0261126,0.974341,0.901793,-0.223446,0.00116687,-1.93833e-05,7.30963e-05,0.00116932,1.12853,0,0,0,0,8.92452
21,0.77825,0,2.22482,-0,6.04575e-08,0,0,0,0,0,0,0.70405,0.65,-0.0273526,0.958611,0.889929,-0.247173,0.00121131,-3.49297e-05,6.46656e-05,0.00121354,1.12825,0,0,0,0,9.03371
22,0.770438,0,2.20207,-0,6.04488e-08,0,0,0,0,0,0,0.682526,0.65,-0.0283886,0.942946,0.880829,-0.265374,0.00125389,-4.99275e-05,5.35706e-05,0.00125603,1.12804,0,0,0,0,9.14396
23,0.76602,0,2.18917,-0,6.04432e-08,0,0,0,0,0,0,0.660923,0.65,-0.0291874,0.927454,0.875669,-0.275693,0.00129247,-6.27433e-05,4.0116e-05,0.00129461,1.1279,0,0,0,0,9.24999
24,0.765486,0,2.18755,-0,6.04411e-08,0,0,0,0,0,0,0.63937,0.65,-0.029729,0.912238,0.875019,-0.276994,0.00132471,-7.20307e-05,2.4957e-05,0.0013269,1.12785,0,0,0,0,9.34854
25,0.768601,0,2.19653,-0,6.04426e-08,0,0,0,0,0,0,0.618001,0.65,-0.0300093,0.8974,0.87861,-0.269811,0.00134893,-7.71224e-05,9.0035e-06,0.00135116,1.12788,0,0,0,0,9.43346
26,0.774572,0,2.21383,-0,6.04477e-08,0,0,0,0,0,0,0.596947,0.65,-0.030039,0.883034,0.885534,-0.255965,0.00136448,-7.81558e-05,-6.825e-06,0.00136673,1.12801,0,0,0,0,9.50174
27,0.782372,0,2.23653,-0,6.04559e-08,0,0,0,0,0,0,0.576337,0.65,-0.0298398,0.869227,0.894611,-0.237809,0.00137253,-7.59289e-05,-2.18567e-05,0.0013748,1.12821,0,0,0,0,9.54823
28,0.791042,0,2.26182,-0,6.0466e-08,0,0,0,0,0,0,0.556296,0.65,-0.0294397,0.856056,0.904728,-0.217575,0.0013754,-7.15525e-05,-3.58293e-05,0.00137773,1.12846,0,0,0,0,9.57826
29,0.808403,0,2.31256,-0,6.04877e-08,0,0,0,0,0,0,0.518383,0.65,-0.0281472,0.831873,0.925022,-0.176987,0.00138272,-6.08515e-05,-6.20314e-05,0.00138544,1.129,0,0,0,0,9.61905
30,0.816574,0,2.33646,-0,6.0498e-08,0,0,0,0,0,0,0.500723,0.65,-0.0272988,0.820956,0.934584,-0.157864,0.00139169,-5.58343e-05,-7.57045e-05,0.00139487,1.12926,0,0,0,0,9.64642
31,0.824546,0,2.3598,-0,6.05081e-08,0,0,0,0,0,0,0.484052,0.65,-0.0263351,0.810864,0.943918,-0.139196,0.00140618,-5.11823e-05,-9.09194e-05,0.00141005,1.12951,0,0,0,0,9.67617
32,0.832673,0,2.3836,-0,6.05186e-08,0,0,0,0,0,0,0.468451,0.65,-0.0252657,0.801614,0.953441,-0.12015,0.00142429,-4.63616e-05,-0.00010828,0.00142915,1.12977,0,0,0,0,9.71148
33,0.841355,0,2.40905,-0,6.05299e-08,0,0,0,0,0,0,0.453985,0.65,-0.0240997,0.793211,0.96362,-0.0997916,0.00144525,-4.05877e-05,-0.00012821,0.00145149,1.13005,0,0,0,0,9.74357
