"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.564440584,      -9.281546705,      -10.05994918,      -10.00200659,      -3.957274518,      -11.53403949
          0,           0,           1,      -4.962711411,      -4.901019502,      -5.463976329,      -4.610698486,      -4.342721722,      -11.58810072
          0,           0,           2,      -4.993335431,       -4.89119768,       -5.29820822,      -4.970727635,      -4.377260849,      -11.41054078
          0,           0,           3,      -5.103455767,      -4.979091993,      -5.237917147,      -5.047832972,      -4.501864778,      -11.55554581
          0,           0,           4,      -5.126265386,      -5.023861375,      -5.223203621,      -5.038814524,      -4.535547287,      -11.61018514
          0,           0,           5,      -5.134208247,      -5.047000685,      -5.222917399,      -5.058000415,      -4.550844844,      -11.58528767
          0,           0,           6,      -5.149595743,      -5.064464206,       -5.22183873,      -5.083441995,      -4.567397743,      -11.60337668
          0,           0,           7,      -5.172039604,      -5.077599429,      -5.215778008,      -5.104295657,      -4.586152472,       -11.6120782
          0,           0,           8,      -5.190932926,      -5.086293499,      -5.211523222,      -5.122726226,      -4.601127116,      -11.60863611
          0,           0,           9,      -5.203137578,      -5.095331413,      -5.215043166,      -5.140209908,      -4.610932084,      -11.59627089
          0,           0,          10,      -5.212536112,        -5.1071498,      -5.226100795,      -5.156735482,      -4.618838558,      -11.57358283
          0,           0,          11,      -5.222008161,      -5.120274587,      -5.240272995,      -5.173247261,      -4.626966063,      -11.54042023
          0,           0,          12,      -5.232634441,      -5.134052313,      -5.253698353,      -5.191633415,      -4.636296106,       -11.4990228
          0,           0,          13,      -5.244979247,      -5.150098188,      -5.265803301,      -5.213554659,      -4.647656685,      -11.44953622
          0,           0,          14,      -5.258964387,      -5.169713821,       -5.27825125,      -5.239216273,      -4.660979466,      -11.39297696
          0,           0,          15,       -5.27366059,      -5.192241334,      -5.292722801,      -5.267013417,      -4.674944162,       -11.3311028
          0,           0,          16,      -5.287996824,      -5.215952142,      -5.310005867,      -5.294516413,       -4.68814609,      -11.26606359
          0,           0,          17,      -5.301594897,      -5.239714482,      -5.330201186,      -5.320056998,      -4.700353353,        -11.199904
          0,           0,          18,      -5.314635864,      -5.263762959,      -5.353030521,      -5.343616799,      -4.712240253,      -11.13469452
          0,           0,          19,      -5.327579314,      -5.289097527,      -5.377935423,      -5.366451029,      -4.724666982,      -11.07272721
          0,           0,          20,      -5.340953023,      -5.316490721,      -5.404091737,      -5.389971298,      -4.738194227,      -11.01444148
          0,           0,          21,      -5.354663289,      -5.346044429,      -5.430577734,      -5.414974898,      -4.752443623,       -10.9586881
          0,           0,          22,      -5.368740951,      -5.377324292,      -5.456661259,       -5.44138838,      -4.767089043,      -10.90366793
          0,           0,          23,      -5.383495653,      -5.409739071,      -5.482020839,      -5.468482029,      -4.782192542,      -10.83131501
          0,           0,          24,      -5.398952532,       -5.44281482,      -5.506754008,      -5.495440527,      -4.797697156,      -10.78934237
          0,           0,          25,      -5.415227023,      -5.476160444,       -5.53114346,      -5.521763585,      -4.813788856,      -10.72616393
          0,           0,          26,      -5.432929984,      -5.509530089,      -5.555435908,      -5.547328153,      -4.831198808,      -10.60292885
          0,           0,          27,      -5.452458164,      -5.542239873,      -5.579763178,      -5.572410007,      -4.850421892,      -10.56736781
          0,           0,          28,      -5.473614118,      -5.574806322,      -5.604162455,      -5.597556218,      -4.871349757,      -10.49917166
          0,           0,          29,      -5.496087851,      -5.606778994,       -5.62862651,      -5.623309902,      -4.893749509,      -10.43435503
          0,           0,          30,      -5.520183712,      -5.637836793,      -5.653127081,      -5.649830834,      -4.917933642,      -10.37026408
          0,           0,          31,      -5.545838712,      -5.668372133,      -5.677638925,      -5.677095056,      -4.943794716,      -10.31232653
          0,           0,          32,       -5.57283869,      -5.698051065,      -5.702118647,      -5.704954317,      -4.971068198,      -10.25739327
          0,           0,          33,       -5.60078127,       -5.72735905,      -5.726492915,      -5.733168459,       -4.99932515,      -10.20591862
          0,           0,          34,      -5.629148273,      -5.756436774,      -5.750684421,      -5.761466577,      -5.028035871,      -10.15959132
          0,           0,          35,      -5.657936943,      -5.785131732,      -5.774630338,      -5.789440478,      -5.057169064,      -10.11756767
          0,           0,          36,      -5.686876446,      -5.814449734,      -5.798310342,      -5.816898836,      -5.086449164,      -10.07883781
          0,           0,          37,      -5.715643202,      -5.844123057,      -5.821729634,      -5.843845099,      -5.115579391,      -10.04396694
          0,           0,          38,      -5.743852352,      -5.874056691,      -5.844911603,      -5.870477133,       -5.14422428,      -10.01212146
          0,           0,          39,      -5.771212334,      -5.903290123,      -5.867886278,      -5.897061749,      -5.172132985,       -9.98315633
          0,           0,          40,      -5.797404471,      -5.931144016,      -5.890698139,        -5.9238349,      -5.199005606,      -9.956685681
          0,           0,          41,      -5.822104614,      -5.956643209,      -5.913389593,      -5.950947403,       -5.22449233,      -9.932321481
          0,           0,          42,      -5.845118936,      -5.979406857,      -5.935996431,      -5.978443553,      -5.248326863,      -9.909485388
          0,           0,          43,      -5.866391252,      -5.998981657,      -5.958538635,      -6.006270188,      -5.270340057,      -9.888227899
          0,           0,          44,      -5.886014383,      -6.015239159,      -5.981042068,      -6.034316665,      -5.290518719,      -9.868004616
          0,           0,          45,      -5.904238622,      -6.027769405,      -6.003546277,      -6.062401248,       -5.30904084,      -9.848602457
          0,           0,          46,      -5.921465071,      -6.037103393,      -6.026111376,      -6.090324482,      -5.326284288,      -9.829837771
          0,           0,          47,      -5.938162271,      -6.044090592,      -6.048817055,      -6.117912327,      -5.342741397,      -9.811627737
          0,           0,          48,      -5.954843873,       -6.04965985,      -6.071765018,      -6.145042036,      -5.358996744,      -9.793931455
          0,           0,          49,      -5.971936442,      -6.054875467,       -6.09506462,       -6.17162668,      -5.375576167,      -9.776785197
          0,           0,          50,      -5.989803324,      -6.059964284,      -6.118833558,       -6.19764449,      -5.392953228,      -9.760181679
          0,           0,          51,      -6.008632198,      -6.065464778,      -6.143181759,      -6.223154628,      -5.411417137,      -9.744153617
          0,           0,          52,      -6.028456079,      -6.071550386,      -6.168184245,      -6.248296461,      -5.431084364,      -9.728787645
          0,           0,          53,      -6.049134647,      -6.078189039,      -6.193855682,      -6.273213385,      -5.451870794,      -9.714099477
          0,           0,          54,      -6.070316919,      -6.085416038,      -6.220142348,      -6.298053848,      -5.473441431,      -9.700163777
          0,           0,          55,      -6.091551803,      -6.092788354,       -6.24688855,      -6.322944759,      -5.495316323,      -9.686482651
          0,           0,          56,      -6.112285008,      -6.100328951,      -6.273807118,      -6.347915904,      -5.516858399,       -9.67461733
          0,           0,          57,      -6.131978984,      -6.107484486,      -6.300479329,      -6.372818514,      -5.537393802,      -9.663219103
          0,           0,          58,      -6.150196124,         -6.113866,       -6.32637352,       -6.39732416,      -5.556307813,      -9.652672297
          0,           0,          59,      -6.166737001,      -6.120428911,      -6.350921422,      -6.420968452,       -5.57323009,      -9.642991844
          0,           0,          60,      -6.181676117,      -6.127815725,      -6.373616755,       -6.44320832,      -5.588126553,      -9.634262405
          0,           0,          61,      -6.195325298,      -6.134723499,      -6.394112791,      -6.463478508,      -5.601293395,      -9.626482149
          0,           0,          62,      -6.208135175,      -6.141556761,      -6.412280708,      -6.481374971,      -5.613251473,      -9.619655441
          0,           0,          63,      -6.220633871,      -6.148454888,      -6.428236001,      -6.496717055,      -5.624651754,      -9.613776878
          0,           0,          64,      -6.233389173,      -6.155555399,      -6.442307498,      -6.509645238,      -5.636203648,      -9.608803271
          0,           0,          65,      -6.246837975,      -6.162849146,      -6.454972137,      -6.520638645,      -5.648478686,       -9.60466246
          0,           0,          66,      -6.261249466,      -6.170207007,      -6.466777717,      -6.530395324,      -5.661857839,      -9.601252522
          0,           0,          67,      -6.276757873,      -6.177580312,      -6.478270216,      -6.539675386,      -5.676553094,      -9.598483965
          0,           0,          68,      -6.293390534,      -6.184618372,      -6.489922067,       -6.54921186,      -5.692639409,      -9.596271464
          0,           0,          69,      -6.311063544,      -6.191223236,      -6.502089844,       -6.55964029,      -5.710046923,      -9.594492169
          0,           0,          70,      -6.329611074,      -6.197058557,      -6.514999874,      -6.571333009,       -5.72857943,      -9.593048403
          0,           0,          71,      -6.348801597,      -6.202072724,      -6.528733278,      -6.584448717,      -5.747942003,      -9.591838184
          0,           0,          72,      -6.368441624,      -6.206189994,      -6.543228903,      -6.598946053,      -5.767859141,      -9.590767405
          0,           0,          73,      -6.388332084,      -6.209384872,      -6.558302146,      -6.614522361,      -5.788032768,      -9.589765106
