"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,           0,      -3.301254278,      -3.364132341,      -3.879700987
          0,           0,           1,      -3.528076816,      -2.010970551,      -1.952668547
          0,           0,           2,      -3.812683684,      -2.657823191,      -2.696170454
          0,           0,           3,      -4.369591916,      -3.024789691,      -3.104641898
          0,           0,           4,       -4.66689549,      -3.188332663,      -3.296567573
          0,           0,           5,      -4.808903027,       -3.30774081,      -3.472189795
          0,           0,           6,      -4.930501963,      -3.459669717,       -3.68546878
          0,           0,           7,      -5.003152394,      -3.618289317,      -3.881202989
          0,           0,           8,         -5.105853,      -3.758223979,      -4.049185638
          0,           0,           9,      -5.225518722,      -3.922095664,      -4.250584169
          0,           0,          10,      -5.327450275,      -4.078780196,      -4.464192153
          0,           0,          11,      -5.405795123,      -4.230009077,      -4.664919099
          0,           0,          12,       -5.45921889,      -4.380238301,       -4.86028587
          0,           0,          13,      -5.513496514,      -4.521449592,      -5.050829372
          0,           0,          14,      -5.585783465,      -4.648983952,      -5.226183769
          0,           0,          15,      -5.669162866,       -4.76260266,       -5.37242051
          0,           0,          16,      -5.755867382,      -4.866308885,      -5.483136716
          0,           0,          17,      -5.850115972,      -4.964522885,      -5.568184905
          0,           0,          18,      -5.953340616,      -5.060901185,      -5.642649883
          0,           0,          19,      -6.060335026,      -5.156477155,      -5.715624206
          0,           0,          20,      -6.168292091,      -5.252292412,      -5.790983699
          0,           0,          21,      -6.279241733,      -5.349567708,      -5.870288084
          0,           0,          22,      -6.392239451,      -5.448517723,      -5.953918775
          0,           0,          23,      -6.502344307,      -5.548672937,      -6.041142103
          0,           0,          24,       -6.60845152,      -5.650472705,      -6.131419433
          0,           0,          25,      -6.714065325,      -5.755369048,      -6.225635526
          0,           0,          26,      -6.820236849,      -5.864375505,      -6.325145145
          0,           0,          27,      -6.924998211,      -5.977439688,      -6.429805874
          0,           0,          28,      -7.028325862,      -6.094117949,      -6.538171038
          0,           0,          29,      -7.131363059,      -6.213899998,      -6.649072513
          0,           0,          30,      -7.233373854,      -6.336124357,       -6.76218306
          0,           0,          31,      -7.333771845,      -6.460534835,      -6.877823575
          0,           0,          32,      -7.434168634,      -6.587762781,       -6.99675275
          0,           0,          33,      -7.535840246,      -6.718436489,      -7.119250957
          0,           0,          34,      -7.638089387,      -6.852053914,      -7.244025022
          0,           0,          35,      -7.740377799,      -6.987417995,      -7.368893312
          0,           0,          36,      -7.843228233,      -7.123518725,      -7.492403822
          0,           0,          37,      -7.946800744,      -7.259464423,      -7.614125248
          0,           0,          38,      -8.050824749,      -7.394491171,      -7.734045063
          0,           0,          39,      -8.155634733,      -7.528482268,      -7.852230309
          0,           0,          40,      -8.261820041,      -7.661599207,       -7.96852827
          0,           0,          41,      -8.369354676,      -7.793332793,      -8.082442269
          0,           0,          42,      -8.478003131,      -7.922880957,      -8.193771659
          0,           0,          43,      -8.587864378,      -8.050008082,      -8.303060359
          0,           0,          44,      -8.698985935,      -8.174792362,      -8.411155691
          0,           0,          45,      -8.811132866,      -8.297299343,      -8.518731327
          0,           0,          46,      -8.924175804,      -8.417932738,      -8.626227429
          0,           0,          47,      -9.038177406,       -8.53739319,      -8.733927698
          0,           0,          48,      -9.153070605,      -8.656158874,      -8.842028076
          0,           0,          49,      -9.268679761,       -8.77447233,      -8.950676281
          0,           0,          50,      -9.384960643,      -8.892621078,      -9.059965784
          0,           0,          51,      -9.501901569,      -9.010822182,      -9.169951322
          0,           0,          52,      -9.619347392,      -9.129088403,      -9.280639955
          0,           0,          53,      -9.737140674,      -9.247464561,      -9.391991399
          0,           0,          54,      -9.855241958,      -9.366121174,      -9.503914845
          0,           0,          55,      -9.973643375,      -9.485188531,      -9.616301725
          0,           0,          56,       -10.0922928,      -9.604663754,      -9.729062952
          0,           0,          57,      -10.21116072,      -9.724523882,      -9.842150868
          0,           0,          58,      -10.33029347,      -9.844810564,      -9.955530979
          0,           0,          59,      -10.44970212,       -9.96549903,      -10.06918597
          0,           0,          60,       -10.5693138,      -10.08646185,      -10.18312273
          0,           0,          61,      -10.68908227,      -10.20763299,      -10.29737174
          0,           0,          62,      -10.80901269,      -10.32903034,      -10.41196753
          0,           0,          63,      -10.92908452,      -10.45062647,      -10.52692529
          0,           0,          64,      -11.04925618,       -10.5723462,      -10.64223908
          0,           0,          65,      -11.16952803,      -10.69414849,      -10.75789098
          0,           0,          66,      -11.28992985,       -10.8160031,      -10.87385687
          0,           0,          67,      -11.41045117,      -10.93782967,      -10.99012992
          0,           0,          68,      -11.53106852,      -11.05958845,      -11.10674186
          0,           0,          69,      -11.65179562,      -11.18133486,      -11.22373142
          0,           0,          70,      -11.77264054,      -11.30311895,      -11.34111714
          0,           0,          71,      -11.89356249,      -11.42490939,      -11.45889945
          0,           0,          72,       -12.0145211,      -11.54663883,      -11.57705974
          0,           0,          73,      -12.13554101,      -11.66828857,      -11.69556804
          0,           0,          74,      -12.25659133,      -11.78981458,      -11.81440806
          0,           0,          75,      -12.37770724,      -11.91123728,         -11.93358
          0,           0,          76,      -12.49887684,      -12.03260984,      -12.05310124
          0,           0,          77,      -12.62012554,      -12.15399309,      -12.17299925
          0,           0,          78,      -12.74110735,      -12.27535525,      -12.29322485
          0,           0,          79,      -12.86230589,      -12.39672124,      -12.41380725
          0,           0,          80,      -12.98253215,       -12.5177803,      -12.53473501
          0,           0,          81,      -13.10363521,      -12.63894163,      -12.65586627
          0,           0,          82,      -13.22277237,      -12.75968498,      -12.77718313
          0,           0,          83,        -13.341521,      -12.88010235,      -12.89859049
          0,           0,          84,       -13.4558801,      -12.99981337,      -13.02007326
          0,           0,          85,       -13.5647212,      -13.11860162,      -13.14168006
          0,           0,          86,      -13.67105784,      -13.23530371,      -13.26113982
          0,           0,          87,      -13.77278018,      -13.35052245,      -13.38289941
          0,           0,          88,      -13.84105468,      -13.45931231,      -13.49975651
          0,           0,          89,      -13.92994538,      -13.57007857,      -13.62134437
          0,           0,          90,      -13.98984467,       -13.6672719,       -13.7341244
          0,           0,          91,      -13.98877983,      -13.73325896,      -13.82788999
          0,           0,          92,      -14.06269258,      -13.83045958,      -13.93807367
          0,           0,          93,      -14.02540846,      -13.83796456,      -13.99817301
          0,           0,          94,      -14.06595533,      -13.90646844,      -14.05524268
          0,           0,          95,      -14.01090453,      -13.86909005,      -14.07273775
          0,           0,          96,      -14.05524615,       -13.9100655,       -14.0986128
          0,           0,          97,      -14.01884348,      -13.88028037,      -14.09028594
          0,           0,          98,      -14.03181187,      -13.87928212,      -14.16238411
          0,           0,          99,      -13.97489159,      -13.85324844,      -14.12964947
          0,           0,         100,       -14.0147516,      -13.90070831,      -14.13433295
          0,           0,         101,       -14.0374744,      -13.90537212,      -14.14256399
          0,           0,         102,      -14.06005849,      -13.93281357,      -14.10250288
          0,           0,         103,      -13.97810582,      -13.82835437,      -14.06504988
          0,           0,         104,      -14.00887865,      -13.86684668,      -14.19934431
          0,           0,         105,      -14.03234884,      -13.91186711,      -14.18888882
          0,           0,         106,      -14.10872992,       -13.9904963,       -14.1710873
          0,           0,         107,      -14.00775415,      -13.88013109,       -14.1037507
          0,           0,         108,       -14.0105663,      -13.88822481,      -14.13686177
          0,           0,         109,      -13.99394187,      -13.86904798,      -14.13438561
          0,           0,         110,      -13.95021741,      -13.83002174,      -14.09130048
          0,           0,         111,      -14.04518742,      -13.93560008,      -14.20930046
          0,           0,         112,      -13.99469454,      -13.86189399,      -14.12513862
          0,           0,         113,      -14.04365746,      -13.93083206,      -14.14535206
          0,           0,         114,      -14.12254913,      -14.00907563,      -14.18035302
          0,           0,         115,      -14.07959805,      -13.96056638,      -14.15218958
          0,           0,         116,      -13.97526169,      -13.84764806,      -14.16209945
          0,           0,         117,      -14.10045548,      -13.98306879,      -14.15649106
          0,           0,         118,      -14.05399711,      -13.90027335,      -14.18628185
          0,           0,         119,      -14.02368636,      -13.90333504,      -14.13837858
          0,           0,         120,      -14.03761835,      -13.92514097,      -14.14363215
          0,           0,         121,      -14.03336303,       -13.8939619,       -14.1311183
          0,           0,         122,      -14.11039366,      -13.97730863,      -14.22894939
          0,           0,         123,      -14.05354045,       -13.9387172,      -14.11647683
          0,           0,         124,      -14.02521756,       -13.8954403,       -14.1836533
          0,           0,         125,      -14.05749757,       -13.9315825,      -14.18143861
          0,           0,         126,      -14.04061066,      -13.93416259,      -14.18546559
