Points_0,Pressure_Coefficient,,,Points_0,Pressure_Coefficient
1,0.225508,,,0.9483,0.1008
0.995782,0.193266,,,0.9,0.0279
0.990924,0.201486,,,0.8503,-0.0038
0.985337,0.175253,,,0.7998,-0.0378
0.978921,0.159731,,,0.7497,-0.0731
0.971568,0.142647,,,0.7003,-0.1027
0.963157,0.125938,,,0.6502,-0.1428
0.95356,0.108733,,,0.5997,-0.1585
0.942641,0.0913847,,,0.5506,-0.1887
0.930255,0.0737896,,,0.5,-0.2152
0.916256,0.05604,,,0.4503,-0.2371
0.900496,0.0381345,,,0.4,-0.2716
0.882836,0.0201118,,,0.3507,-0.2958
0.863146,0.00197823,,,0.3002,-0.3257
0.841316,-0.0162498,,,0.2501,-0.355
0.817266,-0.0346063,,,0.2004,-0.3854
0.790952,-0.0531136,,,0.1504,-0.3986
0.762378,-0.0718514,,,0.1,-0.3949
0.731603,-0.0908856,,,0.0755,-0.3815
0.69875,-0.110329,,,0.051,-0.3522
0.664007,-0.130239,,,0.0251,-0.2208
0.627628,-0.150729,,,0.0122,0.007
0.589933,-0.171774,,,0,1.0184
0.551292,-0.193402,,,0.0135,0.0407
0.512117,-0.215458,,,0.0271,-0.1745
0.472843,-0.237835,,,0.0515,-0.2864
0.433912,-0.260238,,,0.0763,-0.3605
0.395749,-0.282417,,,0.1012,-0.3644
0.358747,-0.303963,,,0.1503,-0.3592
0.323253,-0.324549,,,0.1994,-0.3618
0.289554,-0.343711,,,0.2501,-0.3346
0.257873,-0.361114,,,0.2999,-0.3139
0.228367,-0.376381,,,0.3499,-0.2805
0.201125,-0.389243,,,0.3994,-0.2606
0.17618,-0.399447,,,0.4496,-0.23
0.153511,-0.40682,,,0.4997,-0.2065
0.133057,-0.411143,,,0.5492,-0.1737
0.114722,-0.412263,,,0.5994,-0.1494
0.0983855,-0.409954,,,0.6495,-0.1278
0.0839123,-0.403906,,,0.6996,-0.0967
0.0711583,-0.393744,,,0.7489,-0.0698
0.0599767,-0.37896,,,0.8003,-0.0371
0.0502224,-0.358866,,,0.85,0.0011
0.0417559,-0.332571,,,0.8993,0.0477
0.0344451,-0.298955,,,0.9489,0.0973
0.0281672,-0.256716,,,,
0.0228094,-0.204382,,,,
0.0182689,-0.14054,,,,
0.0144522,-0.0639726,,,,
0.0112752,0.0260015,,,,
0.00866098,0.12878,,,,
0.00653926,0.242218,,,,
0.00484455,0.362201,,,,
0.00351532,0.48289,,,,
0.00249343,0.59767,,,,
0.00172462,0.700583,,,,
0.00115919,0.787624,,,,
0.000753189,0.85728,,,,
0.000469128,0.910199,,,,
0.000276236,0.948434,,,,
0.000150079,0.974664,,,,
7.18E-05,0.99154,,,,
2.72E-05,1.00126,,,,
5.82E-06,1.00475,,,,
0,1.00654,,,,
5.82E-06,1.00475,,,,
2.72E-05,1.00126,,,,
7.18E-05,0.991543,,,,
0.000150079,0.974668,,,,
0.000276236,0.94844,,,,
0.000469128,0.910206,,,,
0.000753189,0.857289,,,,
0.00115919,0.787635,,,,
0.00172462,0.700595,,,,
0.00249343,0.597684,,,,
0.00351532,0.482904,,,,
0.00484455,0.362216,,,,
0.00653926,0.242234,,,,
0.00866098,0.128795,,,,
0.0112752,0.026017,,,,
0.0144522,-0.0639576,,,,
0.0182689,-0.140526,,,,
0.0228094,-0.204369,,,,
0.0281672,-0.256703,,,,
0.0344451,-0.298943,,,,
0.0417559,-0.332559,,,,
0.0502224,-0.358856,,,,
0.0599767,-0.378951,,,,
0.0711583,-0.393735,,,,
0.0839123,-0.403897,,,,
0.0983855,-0.409946,,,,
0.114722,-0.412256,,,,
0.133057,-0.411137,,,,
0.153511,-0.406814,,,,
0.17618,-0.399441,,,,
0.201125,-0.389238,,,,
0.228367,-0.376376,,,,
0.257873,-0.36111,,,,
0.289554,-0.343706,,,,
0.323253,-0.324544,,,,
0.358747,-0.303959,,,,
0.395749,-0.282413,,,,
0.433912,-0.260234,,,,
0.472843,-0.237831,,,,
0.512117,-0.215454,,,,
0.551292,-0.193398,,,,
0.589933,-0.171769,,,,
0.627628,-0.150724,,,,
0.664007,-0.130235,,,,
0.69875,-0.110324,,,,
0.731603,-0.0908808,,,,
0.762378,-0.0718465,,,,
0.790952,-0.0531085,,,,
0.817266,-0.0346011,,,,
0.841316,-0.0162444,,,,
0.863146,0.00198387,,,,
0.882836,0.0201176,,,,
0.900496,0.0381407,,,,
0.916256,0.0560464,,,,
0.930255,0.0737962,,,,
0.942641,0.0913915,,,,
0.95356,0.10874,,,,
0.963157,0.125945,,,,
0.971568,0.142654,,,,
0.978921,0.159737,,,,
0.985337,0.175262,,,,
0.990924,0.201485,,,,
0.995782,0.193286,,,,
