Points_0,Pressure_Coefficient,,Points_0,Pressure_Coefficient
1,0.166492,,0.9483,0.1172
0.995782,0.164101,,0.9,0.0783
0.990924,0.195773,,0.8503,0.0888
0.985337,0.170576,,0.7998,0.0911
0.978921,0.163613,,0.7497,0.079
0.971568,0.153917,,0.7003,0.0809
0.963157,0.146458,,0.6502,0.0726
0.95356,0.139048,,0.5997,0.0885
0.942641,0.132585,,0.5506,0.0932
0.930255,0.126631,,0.5,0.1022
0.916256,0.121396,,0.4503,0.1147
0.900496,0.116809,,0.4,0.1366
0.882836,0.112955,,0.3507,0.1531
0.863146,0.109855,,0.3002,0.1866
0.841316,0.107568,,0.2501,0.2245
0.817266,0.106134,,0.2004,0.2807
0.790952,0.105591,,0.1504,0.3703
0.762378,0.10598,,0.1,0.5194
0.731603,0.107341,,0.0755,0.6255
0.69875,0.109725,,0.051,0.7709
0.664007,0.113202,,0.0251,0.9798
0.627628,0.117875,,0.0122,1.0067
0.589933,0.123894,,0,-2.4197
0.551292,0.13144,,0.0135,-3.6981
0.512117,0.140777,,0.0271,-2.9842
0.472843,0.152195,,0.0515,-2.2957
0.433912,0.16608,,0.0763,-1.9649
0.395749,0.182813,,0.1012,-1.7081
0.358747,0.20284,,0.1503,-1.3616
0.323253,0.226507,,0.1994,-1.1692
0.289554,0.254168,,0.2501,-0.999
0.257873,0.28604,,0.2999,-0.8691
0.228367,0.322289,,0.3499,-0.7595
0.201125,0.362938,,0.3994,-0.6591
0.17618,0.407976,,0.4496,-0.5841
0.153511,0.457141,,0.4997,-0.5032
0.133057,0.510213,,0.5492,-0.4291
0.114722,0.566708,,0.5994,-0.3646
0.0983855,0.625986,,0.6495,-0.3056
0.0839123,0.687246,,0.6996,-0.243
0.0711583,0.749356,,0.7489,-0.1884
0.0599767,0.810778,,0.8003,-0.1189
0.0502224,0.869484,,0.85,-0.0551
0.0417559,0.922717,,0.8993,0.0152
0.0344451,0.966706,,0.9489,0.087
0.0281672,0.996425,,,
0.0228094,1.00535,,,
0.0182689,0.985416,,,
0.0144522,0.926904,,,
0.0112752,0.818998,,,
0.00866098,0.65137,,,
0.00653926,0.416327,,,
0.00484455,0.111773,,,
0.00351532,-0.256038,,,
0.00249343,-0.671829,,,
0.00172462,-1.11353,,,
0.00115919,-1.55702,,,
0.000753189,-1.98082,,,
0.000469128,-2.36975,,,
0.000276236,-2.71537,,,
0.000150079,-3.0176,,,
7.18E-05,-3.27567,,,
2.72E-05,-3.50321,,,
5.82E-06,-3.68041,,,
0,-3.88613,,,
5.82E-06,-4.07705,,,
2.72E-05,-4.2085,,,
7.18E-05,-4.40716,,,
0.000150079,-4.61911,,,
0.000276236,-4.84258,,,
0.000469128,-5.06838,,,
0.000753189,-5.28106,,,
0.00115919,-5.46144,,,
0.00172462,-5.58813,,,
0.00249343,-5.64305,,,
0.00351532,-5.61437,,,
0.00484455,-5.4991,,,
0.00653926,-5.3054,,,
0.00866098,-5.05032,,,
0.0112752,-4.75472,,,
0.0144522,-4.43848,,,
0.0182689,-4.11791,,,
0.0228094,-3.80569,,,
0.0281672,-3.50936,,,
0.0344451,-3.2323,,,
0.0417559,-2.97592,,,
0.0502224,-2.74012,,,
0.0599767,-2.52389,,,
0.0711583,-2.32583,,,
0.0839123,-2.14436,,,
0.0983855,-1.97776,,,
0.114722,-1.82426,,,
0.133057,-1.68226,,,
0.153511,-1.55038,,,
0.17618,-1.42737,,,
0.201125,-1.31217,,,
0.228367,-1.20398,,,
0.257873,-1.10215,,,
0.289554,-1.00618,,,
0.323253,-0.915793,,,
0.358747,-0.83067,,,
0.395749,-0.750735,,,
0.433912,-0.67573,,,
0.472843,-0.605566,,,
0.512117,-0.539959,,,
0.551292,-0.47878,,,
0.589933,-0.421682,,,
0.627628,-0.368501,,,
0.664007,-0.318836,,,
0.69875,-0.272475,,,
0.731603,-0.229039,,,
0.762378,-0.188359,,,
0.790952,-0.150221,,,
0.817266,-0.114569,,,
0.841316,-0.0813456,,,
0.863146,-0.0505967,,,
0.882836,-0.0223638,,,
0.900496,0.00332079,,,
0.916256,0.0264425,,,
0.930255,0.0470595,,,
0.942641,0.0652097,,,
0.95356,0.0811481,,,
0.963157,0.0948516,,,
0.971568,0.107015,,,
0.978921,0.117087,,,
0.985337,0.126925,,,
0.990924,0.139992,,,
0.995782,0.147151,,,
