"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.436551649,       1.118823817,     0.07178852595,       4.079246874
          0,           0,           1,      -2.206414749,      0.2543202931,      0.2529023412,       3.300229221
          0,           0,           2,      -2.465464886,     -0.1128648645,    -0.08622976342,       3.033482842
          0,           0,           3,      -2.597140197,     -0.2992198655,     -0.1548451143,        2.89668037
          0,           0,           4,      -2.791873523,     -0.4904570526,     -0.3926819083,       2.707221543
          0,           0,           5,      -2.934327844,     -0.6573482705,     -0.4876783307,       2.564885377
          0,           0,           6,       -3.10146174,     -0.7831435327,     -0.6161643667,       2.403838497
          0,           0,           7,       -3.20846452,     -0.9087061006,     -0.7460298878,       2.294608368
          0,           0,           8,      -3.329038623,      -1.025451884,     -0.8842651379,       2.170414122
          0,           0,           9,      -3.448369566,      -1.114236622,      -1.017726331,        2.04525997
          0,           0,          10,      -3.542082898,       -1.19175449,      -1.132548174,       1.942115281
          0,           0,          11,      -3.642679059,      -1.271514749,      -1.254369447,        1.83096649
          0,           0,          12,      -3.742163061,      -1.333931483,      -1.370879102,       1.721453382
          0,           0,          13,      -3.849107992,       -1.40193075,      -1.476319857,       1.607280315
          0,           0,          14,      -3.953781777,      -1.462444039,      -1.558981386,       1.489185839
          0,           0,          15,      -4.052684066,      -1.514495849,      -1.629128415,       1.373399921
          0,           0,          16,      -4.143849498,      -1.560295463,      -1.706367688,       1.261764333
          0,           0,          17,      -4.217082814,      -1.603534916,      -1.782228069,         1.1552458
          0,           0,          18,      -4.266096234,      -1.636194239,      -1.854123171,       1.064695249
          0,           0,          19,       -4.30895474,      -1.673766867,      -1.928514322,      0.9690491739
          0,           0,          20,      -4.331848432,      -1.702075783,      -2.000993287,      0.8879760633
          0,           0,          21,      -4.351861792,      -1.731147831,      -2.065149308,      0.8107199204
          0,           0,          22,      -4.370969044,      -1.757504117,      -2.130617167,      0.7340897399
          0,           0,          23,      -4.389622044,      -1.785363302,      -2.187106169,      0.6643247326
          0,           0,          24,      -4.405842059,      -1.807792438,      -2.237878031,      0.6073325594
          0,           0,          25,      -4.424316495,      -1.834911338,      -2.285035183,      0.5482334879
          0,           0,          26,      -4.439287153,      -1.856966123,       -2.32905394,      0.5011994341
          0,           0,          27,      -4.454519971,      -1.881145498,       -2.36678949,      0.4571546774
          0,           0,          28,      -4.467290403,      -1.902465288,      -2.405050404,      0.4214783697
          0,           0,          29,      -4.480275431,      -1.925078113,      -2.438323231,      0.3867132046
          0,           0,          30,      -4.490914757,      -1.944041881,      -2.471190142,      0.3599472668
          0,           0,          31,      -4.502271472,      -1.964192164,      -2.499963396,      0.3312259703
          0,           0,          32,      -4.511561051,      -1.980767258,       -2.52849691,       0.308250911
          0,           0,          33,       -4.52165161,      -1.998215732,      -2.553368464,      0.2818925783
          0,           0,          34,       -4.53000845,      -2.012536622,      -2.578530579,      0.2610278161
          0,           0,          35,      -4.539255088,      -2.027974627,      -2.600893525,      0.2360949838
          0,           0,          36,      -4.546996964,      -2.040598062,      -2.623954883,      0.2169092429
          0,           0,          37,      -4.555656319,      -2.054587289,      -2.644544558,      0.1936057879
          0,           0,          38,      -4.563001781,      -2.066109832,      -2.665843951,      0.1756741469
          0,           0,          39,      -4.571224269,       -2.07922183,      -2.684909415,       0.153613575
          0,           0,          40,      -4.578239428,      -2.089984322,      -2.704704867,      0.1372433963
          0,           0,          41,      -4.586079132,      -2.102478692,      -2.722591223,       0.116569759
          0,           0,          42,      -4.592808271,      -2.112642068,       -2.74121221,      0.1016047918
          0,           0,          43,      -4.600333383,      -2.124495256,      -2.758165625,      0.0827413847
          0,           0,          44,      -4.606833836,      -2.134079223,      -2.775773119,     0.06883336234
          0,           0,          45,      -4.614112649,      -2.145321873,      -2.791875285,      0.0511591373
          0,           0,          46,      -4.620471379,      -2.154253436,      -2.808469218,     0.03795679124
          0,           0,          47,       -4.62748192,      -2.164607268,      -2.823646517,     0.02120993697
          0,           0,          48,       -4.63375565,      -2.172952785,      -2.839293801,    0.007987640799
          0,           0,          49,      -4.640626703,       -2.18253283,      -2.853642585,   -0.008426499546
          0,           0,          50,      -4.646873772,      -2.190445358,      -2.868598957,    -0.02158082118
          0,           0,          51,      -4.653658912,      -2.199414103,      -2.882407262,    -0.03722736374
          0,           0,          52,      -4.659820458,      -2.206420925,      -2.896716687,    -0.05060083972
          0,           0,          53,      -4.666593674,      -2.215026844,      -2.910228522,    -0.06563162044
          0,           0,          54,      -4.672718372,      -2.221531884,       -2.92416777,    -0.07803336265
          0,           0,          55,      -4.679333284,      -2.229204747,      -2.937257831,    -0.09185751724
          0,           0,          56,        -4.6854662,      -2.235295359,      -2.950879154,     -0.1036216226
          0,           0,          57,      -4.692032181,      -2.242642701,      -2.963700146,     -0.1160466359
          0,           0,          58,      -4.698150437,      -2.248500236,      -2.977026162,     -0.1265844905
          0,           0,          59,      -4.704745177,      -2.256058917,      -2.989643153,     -0.1379208238
          0,           0,          60,      -4.710871317,      -2.261853566,      -3.002599932,     -0.1477043643
          0,           0,          61,      -4.717348708,      -2.268865534,      -3.014848315,     -0.1588466087
          0,           0,          62,      -4.723511832,      -2.274955947,      -3.027734354,     -0.1679695943
          0,           0,          63,      -4.729999381,      -2.282081459,      -3.039762287,     -0.1790034519
          0,           0,          64,      -4.736138893,      -2.287979005,      -3.052610227,     -0.1877103014
          0,           0,          65,      -4.742679001,      -2.295496487,      -3.064734913,     -0.1993027989
          0,           0,          66,      -4.748871914,      -2.301565278,      -3.077623444,     -0.2076688767
          0,           0,          67,      -4.753880084,      -2.306520143,      -3.088271617,     -0.2161848199
          0,           0,          68,       -4.76063048,      -2.313614776,      -3.101504712,      -0.224478993
          0,           0,          69,      -4.766056368,      -2.319192636,      -3.112510407,      -0.234673348
