"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.561544997,      -3.638537353,      -4.109287522,      -2.917475863
          0,           0,           1,      -3.900451991,      -3.877681279,      -3.813327703,      -3.258483355
          0,           0,           2,      -3.855761498,      -3.838413963,      -3.888790752,      -3.215426813
          0,           0,           3,      -3.825967055,      -3.776003792,      -3.884237093,      -3.187166685
          0,           0,           4,      -3.829209916,      -3.778465651,      -3.899724765,      -3.187678887
          0,           0,           5,      -3.827631604,      -3.777646725,      -3.940905542,      -3.189428408
          0,           0,           6,      -3.831963663,      -3.791488646,      -3.936273162,      -3.197250601
          0,           0,           7,       -3.85198204,      -3.826883754,      -3.953919467,      -3.209142802
          0,           0,           8,      -3.860980293,      -3.871309044,      -3.985953715,      -3.224815838
          0,           0,           9,      -3.871089169,      -3.897311516,      -4.013474342,      -3.231309063
          0,           0,          10,       -3.88341509,       -3.90795765,      -4.021988431,      -3.244982446
          0,           0,          11,      -3.907339052,      -3.907070048,      -4.034543768,      -3.256627271
          0,           0,          12,      -3.929614751,       -3.92697248,        -4.0603344,      -3.281980734
          0,           0,          13,      -3.956022695,      -3.959914317,      -4.106796343,      -3.304828213
          0,           0,          14,      -3.971766967,      -4.010244187,      -4.143814021,       -3.33177106
          0,           0,          15,       -4.00250906,      -4.067926088,      -4.198122069,      -3.360691542
          0,           0,          16,      -4.029768734,      -4.109191189,      -4.225180441,      -3.392401766
          0,           0,          17,      -4.072154928,      -4.147030292,      -4.261353308,      -3.424370278
          0,           0,          18,      -4.111899271,      -4.191132417,      -4.287644143,      -3.465785734
          0,           0,          19,      -4.169523801,      -4.261078005,      -4.336005787,      -3.517898155
          0,           0,          20,      -4.222712814,      -4.341144721,      -4.386384899,      -3.579398361
          0,           0,          21,       -4.28929661,      -4.431599183,      -4.456596819,      -3.646775683
          0,           0,          22,      -4.340748914,       -4.50577535,      -4.508233517,      -3.705614853
          0,           0,          23,      -4.382015978,      -4.557697693,      -4.557331361,      -3.741146528
          0,           0,          24,      -4.399642173,      -4.584326992,      -4.593035685,      -3.744897317
          0,           0,          25,      -4.409614429,      -4.632059685,        -4.6347454,      -3.769482922
          0,           0,          26,      -4.439366316,      -4.684153695,      -4.679559393,       -3.79126741
          0,           0,          27,      -4.488140526,      -4.742943455,      -4.735228596,      -3.831144732
          0,           0,          28,      -4.525064349,      -4.797557363,      -4.787514045,       -3.88407244
          0,           0,          29,      -4.576451879,      -4.842328104,      -4.847742697,      -3.932650037
          0,           0,          30,      -4.649137606,       -4.89326266,      -4.908726811,      -3.994457975
          0,           0,          31,      -4.705505233,      -4.960101353,      -4.965904525,      -4.062534177
          0,           0,          32,      -4.771044184,      -5.040987371,      -5.030345038,      -4.125496004
          0,           0,          33,      -4.844793132,      -5.118009978,      -5.095886133,       -4.19088042
          0,           0,          34,      -4.889775263,      -5.183952548,      -5.152397961,      -4.251538018
          0,           0,          35,       -4.94154581,      -5.240842092,      -5.213456522,      -4.300185354
          0,           0,          36,      -5.000477933,      -5.286607299,      -5.271858848,      -4.348315921
          0,           0,          37,      -5.037303166,      -5.334816549,      -5.324579964,       -4.39907596
          0,           0,          38,      -5.086936253,       -5.39624364,      -5.386385879,      -4.443856979
          0,           0,          39,      -5.145727819,      -5.460079195,      -5.449082877,      -4.491882469
          0,           0,          40,      -5.181361633,      -5.524696371,      -5.504282323,      -4.542893243
          0,           0,          41,      -5.226728935,      -5.600731353,      -5.558936423,      -4.583693462
          0,           0,          42,       -5.28285732,      -5.667258948,      -5.609972796,      -4.628757111
          0,           0,          43,      -5.316344133,      -5.728247076,      -5.654294972,      -4.678019377
          0,           0,          44,      -5.358904708,      -5.793195827,      -5.705371998,      -4.716389522
          0,           0,          45,      -5.414196722,      -5.837917142,      -5.760034033,      -4.760068721
          0,           0,          46,      -5.461480544,      -5.885890367,      -5.816071845,        -4.8061238
          0,           0,          47,      -5.511528814,       -5.93224511,      -5.870106211,      -4.852724068
          0,           0,          48,      -5.549135593,      -5.974530877,       -5.91897806,      -4.908382124
          0,           0,          49,      -5.598474144,      -6.027273958,      -5.969746087,      -4.953508399
          0,           0,          50,       -5.66446561,      -6.076881325,      -6.026012564,       -5.00806881
          0,           0,          51,       -5.70539618,      -6.135508622,      -6.079093688,      -5.064408894
          0,           0,          52,      -5.752224475,      -6.214287149,      -6.135651554,      -5.108649888
          0,           0,          53,      -5.814478608,      -6.276200088,      -6.191234858,      -5.159830498
          0,           0,          54,      -5.850949599,      -6.334620081,      -6.235972383,       -5.21150754
          0,           0,          55,      -5.891783471,      -6.408644245,       -6.28064321,      -5.248800591
          0,           0,          56,      -5.947077227,      -6.454457959,      -6.325246501,      -5.292552934
          0,           0,          57,       -5.97863395,      -6.500559719,       -6.36499992,      -5.339188748
          0,           0,          58,      -6.015682711,      -6.565584305,      -6.407813031,      -5.372362834
          0,           0,          59,      -6.060941167,      -6.603578769,      -6.449874415,      -5.412815931
          0,           0,          60,       -6.10052654,      -6.643936652,      -6.493395844,      -5.452101523
          0,           0,          61,      -6.138561123,      -6.682526862,      -6.537622981,      -5.490569745
          0,           0,          62,      -6.177581662,      -6.713790159,      -6.581096349,      -5.529341868
          0,           0,          63,      -6.216288926,      -6.739773097,      -6.621471621,      -5.567451815
          0,           0,          64,      -6.255518922,      -6.766606504,      -6.665156766,      -5.606211624
          0,           0,          65,      -6.292390905,       -6.79427729,      -6.704532074,      -5.642992147
          0,           0,          66,      -6.327731059,       -6.81977356,      -6.739748426,       -5.67766471
          0,           0,          67,      -6.361912538,      -6.847086954,      -6.780352941,      -5.711617308
          0,           0,          68,      -6.393195626,      -6.872888999,      -6.815099737,      -5.742912999
          0,           0,          69,      -6.423018275,       -6.88674185,      -6.842314715,      -5.765606649
          0,           0,          70,      -6.445808772,      -6.909207307,      -6.877220822,      -5.801714515
          0,           0,          71,      -6.470017278,      -6.928725678,      -6.909429485,      -5.822232816
          0,           0,          72,      -6.499141607,      -6.934337691,      -6.934492621,      -5.840498252
          0,           0,          73,       -6.52048198,      -6.952386584,      -6.962047493,      -5.874363769
          0,           0,          74,      -6.542483321,      -6.968656514,      -6.992662075,      -5.893184032
          0,           0,          75,      -6.569149311,      -6.975646322,       -7.01719994,      -5.909759763
          0,           0,          76,      -6.592528584,      -6.995211065,      -7.044625586,       -5.94476682
          0,           0,          77,       -6.61774502,       -7.01202606,      -7.079524332,      -5.967029923
          0,           0,          78,      -6.649255113,      -7.024289655,        -7.1067722,      -5.988717873
          0,           0,          79,      -6.680175997,        -7.0494177,      -7.139455437,      -6.030352084
          0,           0,          80,      -6.711666147,      -7.072347913,      -7.176377657,      -6.059352035
          0,           0,          81,      -6.749634352,      -7.093089185,      -7.213475403,      -6.087869584
          0,           0,          82,      -6.785570895,      -7.125526912,      -7.246920389,      -6.134427422
          0,           0,          83,      -6.821310121,      -7.156135591,      -7.291633284,      -6.168014788
          0,           0,          84,      -6.862358574,      -7.185567042,      -7.330614687,      -6.200184976
          0,           0,          85,      -6.899937413,      -7.222502646,      -7.369843033,      -6.248064245
          0,           0,          86,      -6.935837514,      -7.258168153,      -7.414147279,      -6.282272928
          0,           0,          87,      -6.976260223,      -7.290635984,      -7.457158805,      -6.313810348
          0,           0,          88,        -7.0130836,       -7.32897117,      -7.493587466,      -6.361112432
          0,           0,          89,      -7.049113999,      -7.365929661,      -7.539287044,      -6.395236549
          0,           0,          90,      -7.091129667,      -7.399905789,      -7.578133397,      -6.428449295
          0,           0,          91,      -7.130646034,      -7.439383647,       -7.61540218,      -6.477950004
          0,           0,          92,      -7.170214761,      -7.477897666,       -7.65878321,      -6.515888317
          0,           0,          93,      -7.218165002,      -7.514869294,      -7.699477535,      -6.554745868
          0,           0,          94,      -7.262355791,      -7.557107206,      -7.736648016,      -6.608732409
          0,           0,          95,      -7.307298783,       -7.59959024,      -7.782492386,      -6.652313143
          0,           0,          96,      -7.363532122,      -7.642014741,      -7.827717821,      -6.699576315
          0,           0,          97,      -7.413819992,      -7.689133938,      -7.867282067,      -6.759558931
          0,           0,          98,      -7.466121904,      -7.738432861,      -7.917432004,      -6.811021719
          0,           0,          99,      -7.533047349,      -7.790651395,      -7.969301971,      -6.869061456
