"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.284698573,      -5.300112177,      -6.421032795,      -6.123929676,      -4.713187049
          0,           0,           1,      -5.158735621,       -4.95996057,      -5.301845675,      -5.076859499,       -4.58280552
          0,           0,           2,      -4.968738336,      -4.779719199,      -5.187136071,      -5.032284786,      -4.387496013
          0,           0,           3,      -4.843280991,      -4.683924084,       -5.11394962,      -4.931079022,      -4.269433423
          0,           0,           4,      -4.767912528,      -4.643244154,      -5.035952541,      -4.863823473,      -4.193741277
          0,           0,           5,      -4.754390285,      -4.687124372,       -4.98050448,      -4.815281206,      -4.183794745
          0,           0,           6,      -4.745621424,       -4.81294883,      -5.002108262,      -4.847781465,      -4.186601711
          0,           0,           7,      -4.727248316,      -4.828160578,      -5.004412901,      -4.886607031,      -4.151645062
          0,           0,           8,      -4.736716522,      -4.781337574,      -4.982252466,      -4.861935194,      -4.161143342
          0,           0,           9,      -4.759988791,      -4.785369838,      -5.006909488,      -4.854166514,      -4.181119276
          0,           0,          10,      -4.827037489,      -4.890897871,      -5.078399455,      -4.899717889,      -4.245574774
          0,           0,          11,      -4.884273211,       -5.02307093,      -5.175351106,      -5.007469012,      -4.307965713
          0,           0,          12,      -4.939260309,      -5.122525536,       -5.22196927,      -5.086117645,      -4.381721371
          0,           0,          13,      -4.996078069,      -5.159586919,      -5.250437156,      -5.136616859,      -4.433582464
          0,           0,          14,      -5.060564296,      -5.151868158,      -5.294234502,      -5.182077963,      -4.477815399
          0,           0,          15,      -5.115678438,      -5.168092739,      -5.368931055,      -5.247359229,       -4.52678784
          0,           0,          16,      -5.177632322,      -5.222450201,      -5.471851966,      -5.326125588,      -4.588958626
          0,           0,          17,      -5.243539641,      -5.296068417,      -5.561031922,      -5.387732693,      -4.670419986
          0,           0,          18,      -5.323952309,      -5.397487641,      -5.655058718,      -5.456593398,      -4.756515333
          0,           0,          19,      -5.424521881,      -5.509898805,      -5.735894378,      -5.537879571,      -4.849006194
          0,           0,          20,      -5.526247704,      -5.621333946,      -5.804994157,      -5.633448529,      -4.942105031
          0,           0,          21,      -5.619094633,      -5.723451325,      -5.872212925,      -5.740092454,      -5.031145109
          0,           0,          22,      -5.696571915,       -5.80732894,      -5.933355505,      -5.835928503,      -5.119252355
          0,           0,          23,      -5.779228274,      -5.898068694,      -6.015773301,      -5.934076378,      -5.204612471
          0,           0,          24,      -5.878654569,      -5.994869704,       -6.11956262,      -6.025671775,      -5.299404346
          0,           0,          25,      -5.984634387,      -6.094104134,      -6.239486108,      -6.113780425,      -5.400682822
          0,           0,          26,      -6.089617726,      -6.189323798,       -6.36378307,      -6.204854467,      -5.502703583
          0,           0,          27,        -6.1923875,      -6.277765532,      -6.477830299,      -6.304011081,      -5.603994471
          0,           0,          28,      -6.293623504,       -6.36181722,      -6.573519163,       -6.41338648,      -5.705019453
          0,           0,          29,      -6.395045193,      -6.446198669,      -6.658161573,      -6.531594023,      -5.807011299
          0,           0,          30,      -6.498390124,      -6.535104887,      -6.746542405,      -6.654011167,      -5.911026692
          0,           0,          31,      -6.605232428,      -6.631244249,      -6.847894393,      -6.772715915,      -6.018186464
          0,           0,          32,      -6.717067802,      -6.735668691,      -6.962954329,      -6.879229886,      -6.129841579
          0,           0,          33,      -6.833345439,      -6.846500344,      -7.086191333,      -6.971987967,      -6.245667401
          0,           0,          34,      -6.950164626,      -6.958537299,      -7.208875305,      -7.058640822,      -6.362236831
          0,           0,          35,      -7.062464551,      -7.065809818,      -7.323309457,      -7.148511067,      -6.474861111
          0,           0,          36,      -7.168065879,      -7.165746041,      -7.427323479,      -7.246444253,      -6.581279532
          0,           0,          37,      -7.268906581,      -7.260455115,      -7.524895347,      -7.352376644,      -6.682999067
          0,           0,          38,      -7.368403953,      -7.354021095,      -7.621722437,      -7.462795619,      -6.783064945
          0,           0,          39,      -7.468414435,      -7.449212553,      -7.721776956,      -7.572136797,      -6.883256315
          0,           0,          40,      -7.568346497,      -7.546344151,      -7.826309248,      -7.674568278,      -6.983087572
          0,           0,          41,       -7.66584025,      -7.643555447,      -7.933968143,      -7.766552504,      -7.080381161
          0,           0,          42,      -7.758804786,      -7.738618346,       -8.04219837,      -7.848619532,      -7.173204313
          0,           0,          43,      -7.845806684,      -7.829304877,      -8.147484818,      -7.923389974,      -7.260181513
          0,           0,          44,      -7.927621422,      -7.914902724,      -8.246480488,      -7.994323788,      -7.342091759
          0,           0,          45,       -8.00623282,      -7.996200353,      -8.337186106,      -8.064169049,      -7.421046954
          0,           0,          46,      -8.083835658,      -8.074805157,      -8.418060463,      -8.134598702,      -7.500680978
          0,           0,          47,      -8.160300741,      -8.151482998,      -8.497365513,      -8.203981196,      -7.577628373
          0,           0,          48,      -8.236147425,      -8.225671427,       -8.57392297,      -8.271390572,      -7.653848705
          0,           0,          49,      -8.310470309,      -8.297140193,      -8.647219645,      -8.336231516,      -7.728919663
          0,           0,          50,      -8.383669925,      -8.367237868,      -8.699490178,      -8.401806544,      -7.808863678
          0,           0,          51,      -8.450437015,       -8.43280875,      -8.763602435,      -8.463491848,      -7.878396741
          0,           0,          52,      -8.512765182,      -8.491418818,      -8.834144145,      -8.521271491,      -7.939905982
          0,           0,          53,      -8.571068736,      -8.544913002,      -8.904355208,      -8.575971011,      -7.996908919
          0,           0,          54,      -8.632591462,      -8.604251026,      -8.953782376,      -8.638118619,      -8.064601493
          0,           0,          55,      -8.687487849,      -8.658688612,      -9.017743204,      -8.695127659,      -8.120968491
          0,           0,          56,      -8.740636515,      -8.707853207,      -9.088206713,      -8.747805372,      -8.171424849
          0,           0,          57,      -8.793051142,      -8.755548427,      -9.158917957,      -8.797197773,      -8.220481229
          0,           0,          58,      -8.854063917,        -8.8131273,       -9.21307863,      -8.855769994,      -8.285764435
          0,           0,          59,       -8.91134431,      -8.867713914,      -9.276377296,      -8.908972606,      -8.342537843
          0,           0,          60,      -8.967354715,      -8.919418242,      -9.336473142,      -8.958398479,      -8.394938703
          0,           0,          61,      -9.022949578,      -8.971185132,      -9.388117085,      -9.005060593,      -8.447063476
          0,           0,          62,      -9.088142615,      -9.031550259,      -9.424225482,      -9.062062553,      -8.515786882
          0,           0,          63,      -9.149569695,      -9.089439783,      -9.466491255,      -9.115321543,      -8.576483058
          0,           0,          64,      -9.208503455,      -9.144246805,      -9.509743933,      -9.166572625,      -8.632520456
          0,           0,          65,      -9.264669393,      -9.197101318,      -9.555141685,      -9.216398121,      -8.686200377
          0,           0,          66,      -9.328654231,      -9.256189157,      -9.592752677,      -9.275497125,      -8.754159405
          0,           0,          67,      -9.385023192,      -9.311100717,      -9.648347794,      -9.331103847,      -8.810467972
          0,           0,          68,      -9.435628405,      -9.361204053,      -9.714876397,      -9.384258279,      -8.858909833
