"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.204927974,      -5.218571093,      -6.418470115,      -6.101420299,      -4.597761973
          0,           0,           1,      -4.895303162,      -4.666758497,      -4.933258071,      -4.761023991,      -4.269000717
          0,           0,           2,      -4.822007999,      -4.648073169,      -4.655465781,      -4.513659799,      -4.209065876
          0,           0,           3,      -4.740008427,      -4.602237712,      -4.597794608,       -4.37586304,      -4.129039015
          0,           0,           4,       -4.69870734,      -4.561531481,      -4.533455062,      -4.300743052,      -4.081527035
          0,           0,           5,      -4.716213517,      -4.614907847,      -4.507754704,        -4.2947815,      -4.107158593
          0,           0,           6,      -4.722842412,      -4.727969961,      -4.518074268,      -4.329087132,      -4.125990278
          0,           0,           7,      -4.716159369,      -4.688695373,      -4.541339615,        -4.3618475,      -4.091657286
          0,           0,           8,      -4.742582407,      -4.696082822,      -4.575659523,      -4.389808878,      -4.121590638
          0,           0,           9,      -4.792871827,      -4.772629118,      -4.639146363,      -4.441355196,      -4.182397102
          0,           0,          10,      -4.865398663,      -4.885753095,      -4.724499794,      -4.518745107,      -4.256817773
          0,           0,          11,      -4.944463372,       -4.98822162,      -4.815298343,      -4.605705089,      -4.332065771
          0,           0,          12,      -5.019604312,      -5.040594883,      -4.914256213,       -4.69798403,      -4.397666985
          0,           0,          13,      -5.067358204,      -5.065318179,      -5.000908995,      -4.776293035,      -4.452450041
          0,           0,          14,      -5.116611129,      -5.105703428,       -5.11191971,      -4.872399909,        -4.5030453
          0,           0,          15,      -5.202847174,      -5.187400293,      -5.238052773,      -4.983137534,      -4.584477478
          0,           0,          16,      -5.318922261,      -5.308856728,      -5.362194472,      -5.103056406,      -4.696669965
          0,           0,          17,      -5.414598623,      -5.414779603,      -5.451279385,      -5.204058729,      -4.801454336
          0,           0,          18,      -5.496342899,      -5.511652347,      -5.548863858,      -5.321985452,      -4.886942816
          0,           0,          19,      -5.584199651,      -5.595964267,      -5.659703036,      -5.451787181,      -4.969148269
          0,           0,          20,       -5.69327007,      -5.690415783,      -5.783117289,      -5.584126877,      -5.071733526
          0,           0,          21,      -5.822224579,      -5.799029865,      -5.913485522,      -5.710812632,      -5.195444021
          0,           0,          22,      -5.954538416,      -5.907276599,      -6.045258263,      -5.832894454,      -5.324326626
          0,           0,          23,      -6.063828188,      -5.998921894,      -6.164511488,      -5.948447488,      -5.437970659
          0,           0,          24,      -6.160947922,      -6.087205338,      -6.288303125,      -6.072124445,      -5.538635359
          0,           0,          25,       -6.25928652,      -6.179301442,      -6.418348059,      -6.199030957,      -5.637543408
          0,           0,          26,      -6.351426916,      -6.266190435,      -6.528393985,      -6.305423802,      -5.736351731
          0,           0,          27,      -6.455392927,      -6.366777105,      -6.649741332,      -6.413550067,      -5.842658538
          0,           0,          28,      -6.569121827,      -6.474180085,      -6.766812245,      -6.519056936,      -5.953367219
          0,           0,          29,      -6.685678653,       -6.58405641,      -6.865499231,      -6.618657156,      -6.065490974
          0,           0,          30,      -6.783941902,      -6.677793118,      -6.931945712,      -6.702137121,       -6.16931594
          0,           0,          31,      -6.877940527,      -6.776045083,      -6.997634387,      -6.787062485,      -6.266582937
          0,           0,          32,      -6.969632907,      -6.873702781,      -7.056215318,      -6.864034433,      -6.356634747
          0,           0,          33,      -7.060947576,      -6.970334362,       -7.10659852,      -6.924995266,      -6.444761942
          0,           0,          34,      -7.143196196,      -7.055457062,      -7.154654632,      -6.976496225,      -6.532234433
          0,           0,          35,      -7.228854035,      -7.149016579,      -7.210765765,      -7.029901512,      -6.619871825
