"Time_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   ,  "tavg[Buffet]"  ,"Cauchy[tavg[CD]]","Cauchy[tavg[CL]]"
        499,           9,      -8.215453549,       -4.72440757,      -5.373306505,      -2.619670734,      -4.247731941,      0.9329898399,      0.3022201835,      0.6173157799,                 0,                 0,                 0,     0.01618327837,      0.1085289319,      0.6787026465,                 0,       2.042602757,      0.8660080298,      -2.915629412,      -2.159660668,      -2.950892093,      -2.810174213,       -3.18818664,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
        500,           9,      -8.196461835,      -4.726073051,      -5.169000682,      -2.577741687,      -4.315760811,      0.9329898399,      0.3039780487,      0.6307959619,                 0,                 0,                 0,     0.02091986874,       0.106268763,      0.6921077587,                 0,       2.075136558,      0.8660080298,      -2.895814951,      -2.159916964,      -2.746280379,      -2.767776347,      -3.255149334,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        501,           9,      -8.218860127,       -4.73705405,       -5.01329513,      -2.564486433,      -4.304074233,      0.9329898399,       0.305525626,      0.6431901707,                 0,                 0,                 0,     0.02723559604,      0.1041250025,      0.7044128673,                 0,        2.10519222,      0.8740035312,      -2.917243985,      -2.169782043,      -2.589579478,      -2.754065982,      -3.241616265,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 1,                 1
        502,           9,      -8.256852261,      -4.805493044,      -5.288643014,       -2.61310186,      -4.286854897,      0.9329898399,      0.3084591453,      0.6632768644,                 0,                 0,                 0,     0.03436862148,      0.1010575601,      0.7244795461,                 0,       2.150290807,      0.8740035312,      -2.954964567,      -2.237741736,      -2.863204398,      -2.802636957,      -3.223951675,      0.8293243022,      0.2715783342,      0.5717245962,                 0,                 0,                 0,      0.0242094187,     0.09255555778,       0.626144771,                 0,       1.871281973,      0.7768920278,                 1,                 1
        503,           9,      -8.280233001,      -4.849327143,      -5.450158092,      -2.674343408,       -4.28675505,      0.9329898399,      0.3113150232,      0.6824566016,                 0,                 0,                 0,     0.04312858795,     0.09818103729,      0.7436561978,                 0,       2.192173685,      0.8908446192,      -2.978624866,      -2.281264068,      -3.022231946,      -2.864026283,      -3.224121698,      0.6997423799,      0.2302442892,      0.4899251382,                 0,                 0,                 0,     0.02310158157,     0.07694346097,      0.5358346551,                 0,       1.595806135,      0.6555026484,                 1,                 1
        504,           9,      -8.281289882,      -4.786921034,      -5.648722484,      -2.684021665,      -4.311073827,      0.9329898399,      0.3157369485,      0.7076959809,                 0,                 0,                 0,     0.05283233767,     0.09503046513,      0.7690855822,                 0,       2.241410086,       0.834987534,      -2.979809815,      -2.218254081,      -3.218018428,      -2.873626313,      -3.247529979,      0.7463918719,       0.246756964,       0.530500564,                 0,                 0,                 0,     0.02771182265,     0.08087150402,      0.5794649666,                 0,       1.719803884,      0.7014483034,                 1,                 1
        505,           9,       -8.29072142,      -4.755121035,      -5.295374322,      -2.684925034,      -4.298707514,      0.9329898399,      0.3203948405,      0.7332109879,                 0,                 0,                 0,     0.06361161986,     0.09202496332,      0.7948475405,                 0,       2.288460659,      0.8106832246,      -2.988643124,       -2.18533913,      -2.862343088,      -2.874050563,       -3.23431107,      0.7774915333,       0.258318198,      0.5609956318,                 0,                 0,                 0,       0.032426883,     0.08301167214,      0.6120077227,                 0,       1.809579719,       0.732390131,                 1,                 1
        506,           9,      -8.293758888,      -4.779220013,      -5.136779004,      -2.671414018,      -4.327361432,      0.9329898399,      0.3261297613,      0.7630392521,                 0,                 0,                 0,      0.0747747435,     0.08878835493,        0.82504918,                 0,       2.339679914,      0.7838456792,      -2.990421781,      -2.208161294,      -2.702145417,      -2.859904879,      -3.261794716,      0.7997055771,      0.2672553734,      0.5865348189,                 0,                 0,                 0,     0.03727888703,     0.08409139975,      0.6390439459,                 0,        1.88080333,      0.7456933393,                 1,                 1
        507,           9,      -8.299095204,      -4.824780238,      -5.239850408,      -2.660203184,      -4.313933071,      0.9329898399,      0.3318354059,      0.7915445796,                 0,                 0,                 0,     0.08645614261,     0.08591053882,      0.8539771293,                 0,       2.385352995,      0.7941952521,      -2.994518842,      -2.252681607,      -2.804073495,      -2.848310915,      -3.246028381,      0.8163661099,      0.2746140537,      0.6091707112,                 0,                 0,                 0,     0.04230586727,     0.08451044635,      0.6628422274,                 0,       1.940469871,      0.7491239489,                 1,                 1
        508,           9,      -8.292949732,      -4.882464758,      -5.291349577,      -2.662806019,      -4.294626855,      0.9329898399,      0.3380593798,       0.822751393,                 0,                 0,                 0,     0.09754392524,     0.08273856536,      0.8856400673,                 0,       2.433748158,       0.772069323,      -2.987936887,      -2.309720945,      -2.854189964,       -2.85103816,      -3.225886114,      0.8293243022,      0.2809741545,      0.6300547046,                 0,                 0,                 0,     0.04750293971,     0.08448675217,      0.6846732031,                 0,       1.992471431,      0.7481128664,                 1,                 1
